,Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood,Adaptive_Rating
17,S00018,24,Female,Undergraduate,Machine Learning,150,3,98,20,83,1,62,Kinesthetic,5,0,3.0
18,S00019,38,Female,Undergraduate,Web Development,297,4,30,42,42,0,86,Visual,4,0,1.0
19,S00020,40,Male,High School,Cybersecurity,409,4,45,8,50,0,37,Visual,4,0,1.0
20,S00021,48,Male,Undergraduate,Machine Learning,222,4,65,28,95,1,44,Visual,4,0,2.6
21,S00022,28,Male,Postgraduate,Cybersecurity,96,3,51,38,83,2,69,Auditory,3,0,3.4
22,S00023,24,Female,Postgraduate,Cybersecurity,338,2,32,15,54,1,93,Visual,3,0,2.2
23,S00024,28,Female,High School,Data Science,452,2,85,49,45,1,68,Visual,4,0,2.6
24,S00025,40,Male,Undergraduate,Web Development,295,2,84,42,95,1,36,Auditory,2,0,1.8
25,S00026,23,Male,High School,Data Science,371,1,67,46,79,0,32,Auditory,5,0,1.0
26,S00027,30,Male,High School,Python Basics,309,4,54,39,59,1,90,Visual,2,1,1.0
27,S00028,26,Male,Postgraduate,Cybersecurity,484,2,59,15,89,0,87,Visual,4,0,1.0
28,S00029,30,Female,Undergraduate,Cybersecurity,67,4,99,27,89,0,50,Reading/Writing,3,0,1.0
29,S00030,44,Male,Undergraduate,Web Development,408,4,44,44,90,1,65,Kinesthetic,4,0,2.6
30,S00031,17,Female,Postgraduate,Machine Learning,276,2,94,31,61,1,62,Kinesthetic,3,0,2.2
31,S00032,42,Female,High School,Cybersecurity,74,1,89,31,86,2,55,Kinesthetic,3,0,3.4
32,S00033,30,Female,Undergraduate,Data Science,350,2,54,49,52,0,79,Kinesthetic,4,0,1.0
33,S00034,25,Male,Postgraduate,Data Science,321,4,45,28,46,2,61,Visual,5,0,5.0
34,S00035,17,Other,Undergraduate,Web Development,83,4,46,11,44,2,88,Auditory,2,0,2.6
35,S00036,21,Male,High School,Python Basics,77,2,35,29,64,2,67,Reading/Writing,5,1,1.0
36,S00037,16,Female,High School,Python Basics,435,2,46,7,67,0,95,Auditory,3,1,1.0
37,S00038,37,Female,High School,Python Basics,258,1,35,15,90,2,31,Kinesthetic,1,1,1.0
38,S00039,46,Female,Undergraduate,Web Development,227,3,52,3,88,1,52,Visual,2,0,1.8
39,S00040,47,Female,High School,Machine Learning,309,1,36,35,53,1,96,Visual,2,1,1.0
40,S00041,38,Female,Undergraduate,Web Development,138,3,72,5,87,1,87,Auditory,2,0,1.8
41,S00042,20,Female,Undergraduate,Web Development,66,2,53,19,79,2,68,Auditory,4,0,4.2
42,S00043,48,Male,Undergraduate,Data Science,314,3,77,3,53,2,69,Reading/Writing,3,0,3.4
43,S00044,28,Female,Postgraduate,Web Development,405,4,68,1,87,1,53,Reading/Writing,1,0,1.4
44,S00045,33,Female,Undergraduate,Cybersecurity,214,3,31,36,99,0,64,Visual,4,1,1.0
45,S00046,38,Other,High School,Cybersecurity,350,1,79,41,67,2,96,Auditory,4,1,1.0
46,S00047,31,Male,High School,Machine Learning,143,1,70,0,93,1,86,Kinesthetic,5,0,3.0
47,S00048,47,Female,Postgraduate,Web Development,122,3,43,0,75,1,77,Auditory,5,0,3.0
48,S00049,18,Male,High School,Cybersecurity,10,1,91,19,50,0,53,Visual,2,0,1.0
49,S00050,43,Male,High School,Data Science,246,4,73,30,86,1,95,Visual,3,0,2.2
50,S00051,45,Male,High School,Web Development,63,3,46,40,64,0,77,Visual,1,1,1.0
51,S00052,34,Other,Undergraduate,Machine Learning,460,4,36,40,61,1,65,Visual,5,1,1.0
52,S00053,25,Male,Undergraduate,Python Basics,116,2,93,1,51,0,66,Reading/Writing,1,0,1.0
53,S00054,46,Male,Undergraduate,Web Development,360,4,73,14,98,2,36,Kinesthetic,3,0,3.4
54,S00055,19,Male,High School,Data Science,353,3,94,0,99,2,32,Visual,1,0,1.8
55,S00056,42,Male,Postgraduate,Machine Learning,471,2,68,21,97,1,40,Visual,5,0,3.0
56,S00057,39,Male,Undergraduate,Web Development,391,1,92,20,42,1,58,Visual,4,0,2.6
57,S00058,32,Female,Undergraduate,Web Development,412,4,74,14,64,1,96,Kinesthetic,5,1,1.0
58,S00059,17,Female,Undergraduate,Data Science,212,4,65,18,40,0,39,Reading/Writing,5,0,1.0
59,S00060,44,Female,High School,Data Science,147,2,34,3,48,1,76,Visual,4,0,2.6
60,S00061,42,Male,High School,Cybersecurity,388,2,62,21,65,1,98,Kinesthetic,5,0,3.0
61,S00062,26,Male,Postgraduate,Python Basics,316,1,32,19,62,0,58,Kinesthetic,1,0,1.0
62,S00063,21,Female,Postgraduate,Web Development,415,1,94,39,91,2,34,Kinesthetic,2,0,2.6
63,S00064,20,Male,Undergraduate,Machine Learning,350,1,58,9,53,2,74,Visual,4,0,4.2
64,S00065,17,Female,Undergraduate,Data Science,279,2,40,13,70,2,53,Reading/Writing,2,0,2.6
65,S00066,49,Female,Undergraduate,Cybersecurity,376,1,84,46,70,1,37,Reading/Writing,4,0,2.6
66,S00067,16,Female,Postgraduate,Web Development,356,1,86,27,81,2,74,Kinesthetic,3,0,3.4
67,S00068,17,Female,Undergraduate,Machine Learning,133,1,57,19,74,0,52,Visual,1,0,1.0
68,S00069,44,Male,Postgraduate,Cybersecurity,131,2,48,48,53,2,41,Reading/Writing,2,0,2.6
69,S00070,32,Female,Undergraduate,Python Basics,458,2,57,19,67,1,98,Auditory,1,0,1.4
70,S00071,20,Female,Undergraduate,Web Development,207,4,87,7,79,1,54,Reading/Writing,4,0,2.6
71,S00072,23,Female,Postgraduate,Data Science,136,4,61,41,55,0,89,Reading/Writing,5,0,1.0
72,S00073,20,Male,Undergraduate,Python Basics,449,4,34,4,69,0,38,Auditory,4,1,1.0
73,S00074,42,Female,Postgraduate,Web Development,433,2,31,19,41,1,49,Visual,4,1,1.0
74,S00075,44,Male,High School,Data Science,122,4,43,22,81,0,98,Auditory,4,0,1.0
75,S00076,27,Female,High School,Cybersecurity,79,3,52,41,80,2,97,Auditory,5,1,1.0
76,S00077,37,Male,Undergraduate,Machine Learning,457,1,36,44,86,1,55,Visual,5,0,3.0
77,S00078,43,Female,Postgraduate,Machine Learning,200,1,41,9,47,1,69,Visual,1,0,1.4
78,S00079,31,Male,Undergraduate,Cybersecurity,472,4,46,48,56,0,32,Kinesthetic,3,1,1.0
79,S00080,38,Female,Undergraduate,Data Science,490,4,35,22,46,1,81,Reading/Writing,3,0,2.2
80,S00081,17,Male,Postgraduate,Data Science,51,1,50,2,96,0,83,Reading/Writing,5,0,1.0
81,S00082,23,Male,Postgraduate,Python Basics,480,1,95,33,93,1,76,Kinesthetic,4,1,1.0
82,S00083,33,Male,Undergraduate,Machine Learning,117,1,85,1,51,1,38,Reading/Writing,2,0,1.8
83,S00084,41,Female,Undergraduate,Python Basics,173,4,51,9,75,0,97,Kinesthetic,4,0,1.0
84,S00085,15,Female,Undergraduate,Machine Learning,157,3,73,39,62,1,65,Kinesthetic,3,0,2.2
85,S00086,43,Female,Postgraduate,Machine Learning,214,3,84,35,92,1,51,Visual,3,0,2.2
86,S00087,38,Female,Undergraduate,Python Basics,371,2,45,19,77,1,98,Kinesthetic,2,0,1.8
87,S00088,43,Male,Undergraduate,Data Science,443,1,75,1,80,0,86,Visual,3,0,1.0
88,S00089,39,Male,Undergraduate,Machine Learning,113,4,75,47,69,1,96,Visual,3,1,1.0
89,S00090,20,Female,Undergraduate,Python Basics,198,4,67,46,50,1,89,Reading/Writing,2,1,1.0
90,S00091,22,Male,Postgraduate,Cybersecurity,139,1,56,12,89,1,59,Kinesthetic,2,0,1.8
91,S00092,22,Male,Undergraduate,Data Science,284,4,36,16,82,2,61,Reading/Writing,4,0,4.2
92,S00093,20,Male,Undergraduate,Machine Learning,307,1,65,19,49,1,57,Visual,4,0,2.6
93,S00094,21,Female,High School,Data Science,299,1,84,3,85,0,62,Auditory,3,1,1.0
94,S00095,45,Male,High School,Python Basics,115,1,87,46,80,1,93,Auditory,4,0,2.6
95,S00096,38,Male,High School,Web Development,116,1,85,13,57,1,62,Reading/Writing,2,1,1.0
96,S00097,22,Male,Undergraduate,Python Basics,404,3,47,16,68,2,81,Auditory,3,1,1.0
97,S00098,46,Female,Undergraduate,Web Development,174,3,63,1,75,1,50,Visual,3,0,2.2
98,S00099,33,Female,Undergraduate,Python Basics,17,3,96,5,75,1,48,Reading/Writing,4,0,2.6
99,S00100,46,Female,Undergraduate,Data Science,232,1,86,25,44,2,79,Kinesthetic,5,0,5.0
100,S00101,20,Male,Postgraduate,Web Development,164,4,31,19,54,1,67,Kinesthetic,1,0,1.4
101,S00102,40,Male,High School,Python Basics,113,2,36,28,98,2,68,Visual,4,1,1.0
102,S00103,25,Female,Undergraduate,Web Development,10,3,87,5,84,2,85,Auditory,5,0,5.0
103,S00104,28,Female,Undergraduate,Web Development,282,4,82,43,82,0,78,Visual,1,0,1.0
104,S00105,36,Female,Undergraduate,Python Basics,261,3,76,11,88,1,37,Reading/Writing,2,0,1.8
105,S00106,33,Female,Undergraduate,Web Development,38,4,53,17,58,2,35,Reading/Writing,4,0,4.2
106,S00107,22,Male,Undergraduate,Cybersecurity,130,4,88,20,96,1,89,Kinesthetic,1,0,1.4
107,S00108,46,Male,Undergraduate,Data Science,42,1,74,11,92,1,89,Kinesthetic,4,0,2.6
108,S00109,27,Male,High School,Cybersecurity,213,1,57,8,58,1,95,Visual,4,0,2.6
109,S00110,33,Male,Undergraduate,Data Science,322,4,40,7,67,1,35,Kinesthetic,1,1,1.0
110,S00111,18,Female,Undergraduate,Data Science,418,3,68,9,90,1,48,Auditory,2,1,1.0
111,S00112,31,Male,High School,Machine Learning,320,1,34,2,88,2,88,Kinesthetic,5,0,5.0
112,S00113,38,Female,Postgraduate,Cybersecurity,414,2,43,15,65,0,95,Reading/Writing,5,1,1.0
113,S00114,15,Female,Postgraduate,Machine Learning,266,4,57,32,88,2,64,Visual,3,0,3.4
114,S00115,18,Male,Undergraduate,Machine Learning,439,1,79,17,98,0,81,Kinesthetic,1,1,1.0
115,S00116,47,Male,Undergraduate,Machine Learning,332,1,38,47,74,2,72,Reading/Writing,5,1,1.0
116,S00117,41,Male,High School,Web Development,294,1,41,1,82,2,52,Auditory,3,1,1.0
117,S00118,49,Female,Undergraduate,Web Development,77,2,60,9,73,2,75,Auditory,1,0,1.8
118,S00119,44,Female,High School,Cybersecurity,347,3,86,9,94,0,62,Auditory,3,0,1.0
119,S00120,49,Female,Undergraduate,Web Development,44,3,47,48,77,1,97,Auditory,4,0,2.6
120,S00121,17,Male,Undergraduate,Data Science,313,2,33,11,41,1,93,Auditory,4,1,1.0
121,S00122,16,Female,Undergraduate,Web Development,342,2,54,37,93,2,66,Visual,2,1,1.0
122,S00123,32,Female,Undergraduate,Python Basics,139,3,82,10,80,0,37,Visual,1,1,1.0
123,S00124,15,Male,High School,Data Science,433,4,59,13,54,0,56,Auditory,5,0,1.0
124,S00125,42,Male,Undergraduate,Data Science,483,1,38,24,92,2,79,Auditory,3,1,1.0
125,S00126,24,Male,Postgraduate,Python Basics,492,3,96,34,60,0,39,Visual,5,0,1.0
126,S00127,35,Female,High School,Cybersecurity,230,3,48,9,56,1,83,Visual,3,0,2.2
127,S00128,17,Female,Postgraduate,Python Basics,323,3,98,10,42,0,52,Kinesthetic,3,1,1.0
128,S00129,15,Female,Postgraduate,Cybersecurity,167,4,78,43,55,2,38,Kinesthetic,1,0,1.8
129,S00130,34,Male,Undergraduate,Cybersecurity,443,2,63,5,89,1,86,Visual,2,0,1.8
130,S00131,18,Female,High School,Data Science,410,3,37,19,95,1,94,Reading/Writing,2,0,1.8
131,S00132,40,Male,Undergraduate,Data Science,435,1,38,39,59,1,96,Visual,1,0,1.4
132,S00133,16,Male,Postgraduate,Machine Learning,340,4,89,23,47,0,91,Reading/Writing,3,0,1.0
133,S00134,17,Female,Postgraduate,Machine Learning,105,2,54,35,73,1,38,Visual,1,0,1.4
134,S00135,28,Male,Undergraduate,Python Basics,122,2,52,36,53,1,40,Visual,5,0,3.0
135,S00136,47,Female,Postgraduate,Web Development,289,4,68,21,90,1,70,Kinesthetic,1,0,1.4
136,S00137,35,Female,Undergraduate,Machine Learning,457,3,81,38,83,1,81,Visual,3,0,2.2
137,S00138,48,Male,Undergraduate,Web Development,146,2,82,17,59,2,38,Reading/Writing,3,0,3.4
138,S00139,27,Female,Undergraduate,Machine Learning,445,3,45,44,87,1,70,Kinesthetic,5,0,3.0
139,S00140,49,Female,Undergraduate,Cybersecurity,442,1,97,13,93,1,59,Kinesthetic,5,0,3.0
140,S00141,24,Female,Undergraduate,Machine Learning,170,4,30,33,70,1,47,Auditory,5,0,3.0
141,S00142,44,Female,High School,Cybersecurity,259,2,72,9,44,2,86,Reading/Writing,3,0,3.4
142,S00143,22,Female,Undergraduate,Cybersecurity,294,1,76,16,53,2,55,Kinesthetic,4,0,4.2
143,S00144,22,Female,Undergraduate,Python Basics,136,2,88,20,77,1,92,Auditory,1,0,1.4
144,S00145,32,Female,High School,Machine Learning,458,3,53,17,57,1,53,Auditory,2,0,1.8
145,S00146,23,Male,Postgraduate,Data Science,194,4,82,10,57,1,66,Auditory,5,1,1.0
146,S00147,30,Male,Postgraduate,Data Science,414,2,98,39,97,0,87,Visual,2,0,1.0
147,S00148,35,Female,High School,Python Basics,356,2,78,44,84,2,43,Auditory,2,0,2.6
148,S00149,25,Female,Undergraduate,Data Science,472,2,32,9,79,1,95,Reading/Writing,1,0,1.4
149,S00150,26,Male,Undergraduate,Machine Learning,420,2,99,4,77,1,87,Visual,3,1,1.0
150,S00151,26,Male,Undergraduate,Machine Learning,386,3,68,20,86,2,38,Auditory,5,0,5.0
151,S00152,40,Male,High School,Data Science,96,1,85,26,47,1,50,Reading/Writing,2,1,1.0
152,S00153,45,Female,Undergraduate,Data Science,79,1,41,32,44,1,73,Auditory,5,0,3.0
153,S00154,38,Female,Undergraduate,Data Science,145,4,98,18,90,2,85,Auditory,3,0,3.4
154,S00155,46,Male,Postgraduate,Data Science,411,2,65,39,61,2,80,Kinesthetic,1,0,1.8
155,S00156,28,Male,Undergraduate,Cybersecurity,86,2,92,2,88,2,63,Auditory,4,1,1.0
156,S00157,18,Female,High School,Machine Learning,53,3,39,11,58,2,42,Visual,2,0,2.6
157,S00158,38,Other,Postgraduate,Web Development,426,4,62,20,44,2,92,Visual,1,0,1.8
158,S00159,26,Male,High School,Web Development,425,3,55,44,52,1,97,Kinesthetic,2,0,1.8
159,S00160,25,Female,Undergraduate,Data Science,112,2,87,4,86,0,40,Reading/Writing,5,0,1.0
160,S00161,25,Female,Undergraduate,Python Basics,231,1,64,18,87,0,84,Auditory,5,0,1.0
161,S00162,35,Male,Undergraduate,Web Development,183,3,89,15,91,0,95,Auditory,2,0,1.0
162,S00163,26,Male,Undergraduate,Machine Learning,245,4,71,0,74,2,94,Kinesthetic,4,0,4.2
163,S00164,44,Female,High School,Cybersecurity,142,1,86,28,94,1,79,Reading/Writing,5,0,3.0
164,S00165,18,Male,Postgraduate,Web Development,319,2,37,21,53,1,43,Visual,1,0,1.4
165,S00166,22,Other,Undergraduate,Cybersecurity,183,2,74,38,89,1,32,Auditory,1,0,1.4
166,S00167,26,Female,Postgraduate,Cybersecurity,393,3,70,16,46,0,91,Kinesthetic,2,1,1.0
167,S00168,29,Male,High School,Cybersecurity,454,4,31,49,75,1,62,Visual,5,0,3.0
168,S00169,15,Female,Undergraduate,Web Development,406,3,53,46,55,1,85,Kinesthetic,4,1,1.0
169,S00170,29,Female,Undergraduate,Web Development,425,4,56,12,67,0,92,Reading/Writing,1,0,1.0
170,S00171,16,Female,Undergraduate,Data Science,326,4,78,9,59,1,60,Kinesthetic,1,0,1.4
171,S00172,22,Female,Undergraduate,Cybersecurity,408,4,48,25,49,0,48,Kinesthetic,4,0,1.0
172,S00173,18,Male,Undergraduate,Cybersecurity,499,3,71,33,76,2,33,Kinesthetic,1,1,1.0
173,S00174,27,Male,High School,Python Basics,276,2,83,38,96,1,89,Auditory,1,0,1.4
174,S00175,32,Female,Postgraduate,Python Basics,469,3,86,20,89,1,90,Kinesthetic,2,1,1.0
175,S00176,31,Female,Undergraduate,Machine Learning,59,3,43,9,62,2,50,Auditory,3,1,1.0
176,S00177,29,Male,Undergraduate,Python Basics,76,2,99,45,77,1,90,Kinesthetic,2,0,1.8
177,S00178,24,Female,High School,Cybersecurity,127,4,46,8,91,1,72,Kinesthetic,4,0,2.6
178,S00179,43,Female,Undergraduate,Cybersecurity,333,1,96,23,55,2,74,Kinesthetic,2,0,2.6
179,S00180,28,Male,Undergraduate,Python Basics,216,4,75,23,40,1,71,Auditory,1,0,1.4
180,S00181,33,Male,Undergraduate,Machine Learning,234,4,55,30,61,1,80,Reading/Writing,4,0,2.6
181,S00182,39,Female,Undergraduate,Machine Learning,459,3,78,31,43,0,73,Auditory,5,0,1.0
182,S00183,48,Female,Undergraduate,Web Development,399,3,34,33,99,0,33,Visual,4,0,1.0
183,S00184,36,Male,Undergraduate,Cybersecurity,73,2,75,27,79,1,96,Kinesthetic,5,0,3.0
184,S00185,30,Male,Undergraduate,Machine Learning,147,1,52,23,84,1,53,Auditory,2,0,1.8
185,S00186,47,Male,High School,Web Development,152,3,77,6,81,1,78,Visual,2,0,1.8
186,S00187,28,Female,High School,Web Development,184,4,72,13,95,0,83,Kinesthetic,5,0,1.0
187,S00188,44,Male,High School,Machine Learning,63,3,57,46,92,0,42,Visual,2,0,1.0
188,S00189,22,Other,Undergraduate,Data Science,345,4,82,19,68,2,45,Visual,4,0,4.2
189,S00190,20,Female,Undergraduate,Machine Learning,447,3,69,32,52,1,47,Auditory,5,0,3.0
190,S00191,33,Male,Undergraduate,Machine Learning,357,4,49,27,57,1,87,Auditory,1,0,1.4
191,S00192,49,Male,Undergraduate,Python Basics,29,3,78,20,67,0,60,Visual,5,0,1.0
192,S00193,20,Other,Undergraduate,Web Development,110,1,38,38,50,1,91,Reading/Writing,4,0,2.6
193,S00194,45,Male,Postgraduate,Machine Learning,303,4,58,32,64,2,89,Reading/Writing,1,0,1.8
194,S00195,15,Female,Undergraduate,Python Basics,214,2,36,7,48,0,46,Auditory,2,1,1.0
195,S00196,21,Female,Postgraduate,Data Science,335,2,87,48,99,0,96,Kinesthetic,5,0,1.0
196,S00197,45,Female,High School,Python Basics,412,2,41,35,76,1,62,Visual,1,0,1.4
197,S00198,48,Male,Undergraduate,Web Development,70,2,84,17,42,1,54,Kinesthetic,5,0,3.0
198,S00199,39,Female,Postgraduate,Cybersecurity,491,1,54,30,95,2,90,Visual,2,0,2.6
199,S00200,25,Male,Postgraduate,Cybersecurity,470,3,94,25,53,1,66,Visual,4,1,1.0
200,S00201,15,Female,Undergraduate,Cybersecurity,347,3,45,47,58,2,84,Visual,5,0,5.0
201,S00202,36,Male,Undergraduate,Python Basics,417,2,41,31,81,0,98,Auditory,2,0,1.0
202,S00203,20,Male,High School,Web Development,317,4,75,30,89,2,30,Visual,4,0,4.2
203,S00204,16,Male,High School,Data Science,28,1,38,29,67,1,33,Kinesthetic,3,0,2.2
204,S00205,28,Female,Undergraduate,Cybersecurity,408,4,37,29,71,1,42,Kinesthetic,2,1,1.0
205,S00206,29,Male,Postgraduate,Data Science,433,1,94,17,83,2,65,Kinesthetic,1,0,1.8
206,S00207,39,Male,High School,Python Basics,489,2,41,44,98,1,88,Auditory,3,0,2.2
207,S00208,26,Male,Postgraduate,Web Development,463,1,39,20,93,1,82,Visual,5,0,3.0
208,S00209,41,Male,Postgraduate,Python Basics,422,2,92,31,87,1,57,Auditory,4,1,1.0
209,S00210,46,Male,Undergraduate,Data Science,417,4,97,1,99,1,47,Visual,2,0,1.8
210,S00211,23,Male,Postgraduate,Data Science,279,3,88,27,70,1,90,Visual,2,0,1.8
211,S00212,40,Female,Undergraduate,Machine Learning,52,3,40,39,88,1,99,Visual,3,0,2.2
212,S00213,17,Female,Postgraduate,Cybersecurity,15,1,33,45,97,1,62,Visual,3,1,1.0
213,S00214,37,Male,Undergraduate,Cybersecurity,212,3,43,47,92,0,66,Kinesthetic,5,0,1.0
214,S00215,46,Male,Undergraduate,Python Basics,484,3,86,48,86,2,73,Auditory,4,0,4.2
215,S00216,43,Male,High School,Web Development,436,1,30,32,88,0,38,Visual,1,0,1.0
216,S00217,15,Male,Postgraduate,Web Development,455,3,99,41,86,1,62,Reading/Writing,3,0,2.2
217,S00218,31,Male,Postgraduate,Machine Learning,133,3,92,3,78,2,78,Visual,5,0,5.0
218,S00219,17,Male,Postgraduate,Python Basics,305,1,50,3,75,2,64,Kinesthetic,4,0,4.2
219,S00220,24,Female,Postgraduate,Machine Learning,124,2,69,11,80,1,45,Kinesthetic,3,0,2.2
220,S00221,38,Female,High School,Web Development,193,1,31,34,88,1,95,Visual,1,0,1.4
221,S00222,25,Female,Undergraduate,Data Science,373,3,94,42,42,2,89,Visual,5,1,1.0
222,S00223,30,Female,Undergraduate,Machine Learning,299,3,81,5,60,0,80,Kinesthetic,2,0,1.0
223,S00224,16,Other,High School,Web Development,322,2,47,46,90,1,53,Reading/Writing,1,0,1.4
224,S00225,26,Female,Undergraduate,Data Science,153,4,86,26,48,1,67,Visual,1,0,1.4
225,S00226,22,Female,Postgraduate,Python Basics,486,4,61,38,59,2,40,Visual,5,0,5.0
226,S00227,21,Female,High School,Data Science,346,2,91,16,90,1,49,Auditory,5,0,3.0
227,S00228,24,Female,High School,Machine Learning,336,1,60,31,95,0,65,Reading/Writing,2,0,1.0
228,S00229,22,Male,Undergraduate,Data Science,339,4,58,15,40,1,64,Auditory,1,1,1.0
229,S00230,29,Male,Undergraduate,Machine Learning,146,2,45,9,88,1,50,Kinesthetic,4,0,2.6
230,S00231,28,Female,Undergraduate,Machine Learning,70,3,97,44,65,0,50,Auditory,5,1,1.0
231,S00232,30,Male,Postgraduate,Python Basics,264,3,79,17,97,1,64,Visual,5,0,3.0
232,S00233,29,Female,Undergraduate,Python Basics,362,3,94,31,43,2,36,Visual,5,1,1.0
233,S00234,20,Female,Undergraduate,Cybersecurity,118,3,54,42,85,0,37,Kinesthetic,2,0,1.0
234,S00235,40,Female,Undergraduate,Web Development,365,2,84,29,82,2,83,Auditory,3,0,3.4
235,S00236,20,Male,Undergraduate,Machine Learning,429,4,58,43,41,1,90,Visual,5,0,3.0
236,S00237,27,Male,Postgraduate,Cybersecurity,115,1,79,23,61,1,98,Kinesthetic,5,0,3.0
237,S00238,30,Female,High School,Data Science,149,1,67,8,85,1,82,Kinesthetic,4,0,2.6
238,S00239,40,Male,High School,Cybersecurity,111,2,84,3,92,2,80,Visual,3,0,3.4
239,S00240,23,Female,High School,Cybersecurity,212,2,50,37,50,2,71,Visual,3,0,3.4
240,S00241,38,Female,High School,Cybersecurity,373,1,74,2,55,1,63,Visual,2,0,1.8
241,S00242,33,Female,Postgraduate,Web Development,291,3,32,34,71,1,97,Visual,4,0,2.6
242,S00243,32,Female,High School,Python Basics,92,2,44,24,80,2,89,Kinesthetic,1,0,1.8
243,S00244,24,Female,High School,Web Development,201,2,62,48,41,2,72,Auditory,3,0,3.4
244,S00245,38,Male,Undergraduate,Cybersecurity,346,3,30,11,79,2,47,Auditory,2,0,2.6
245,S00246,29,Male,Undergraduate,Machine Learning,261,3,90,38,59,2,36,Auditory,3,0,3.4
246,S00247,23,Female,Undergraduate,Python Basics,379,2,38,1,97,1,37,Auditory,3,0,2.2
247,S00248,21,Female,Undergraduate,Machine Learning,264,2,73,7,78,1,54,Visual,1,1,1.0
248,S00249,31,Female,High School,Cybersecurity,427,4,49,14,69,2,56,Reading/Writing,5,1,1.0
249,S00250,39,Male,Undergraduate,Web Development,372,2,49,46,94,1,61,Auditory,5,0,3.0
250,S00251,18,Male,Undergraduate,Machine Learning,261,1,39,12,86,2,87,Reading/Writing,2,1,1.0
251,S00252,22,Female,Undergraduate,Web Development,62,3,59,17,92,2,87,Visual,4,0,4.2
252,S00253,16,Male,High School,Data Science,263,4,58,24,78,2,78,Visual,2,0,2.6
253,S00254,41,Female,High School,Machine Learning,336,4,47,36,98,2,44,Visual,3,0,3.4
254,S00255,18,Male,Undergraduate,Machine Learning,45,3,49,36,55,2,79,Reading/Writing,4,0,4.2
255,S00256,46,Male,Undergraduate,Python Basics,438,3,88,22,60,1,30,Reading/Writing,2,0,1.8
256,S00257,24,Male,Postgraduate,Machine Learning,39,3,32,18,56,1,40,Auditory,4,0,2.6
257,S00258,26,Female,Undergraduate,Python Basics,336,1,82,19,81,2,50,Kinesthetic,3,0,3.4
258,S00259,23,Female,Postgraduate,Python Basics,451,4,68,0,79,0,76,Visual,1,0,1.0
259,S00260,26,Male,High School,Web Development,217,1,62,29,54,1,62,Visual,5,0,3.0
260,S00261,42,Female,High School,Python Basics,84,1,79,30,51,1,45,Auditory,3,0,2.2
261,S00262,19,Male,Undergraduate,Data Science,314,2,95,1,60,0,46,Auditory,4,1,1.0
262,S00263,46,Male,High School,Web Development,68,2,44,4,50,1,59,Auditory,2,1,1.0
263,S00264,17,Male,Postgraduate,Data Science,131,2,58,1,63,2,45,Kinesthetic,5,0,5.0
264,S00265,23,Female,Undergraduate,Cybersecurity,114,2,91,2,85,1,62,Visual,5,0,3.0
265,S00266,43,Female,Undergraduate,Machine Learning,241,3,71,20,72,1,76,Kinesthetic,3,0,2.2
266,S00267,24,Female,Undergraduate,Data Science,389,4,67,45,97,0,53,Visual,2,0,1.0
267,S00268,21,Male,Undergraduate,Machine Learning,454,2,85,16,40,1,94,Kinesthetic,1,0,1.4
